LGA_NAME16	EmploymentStatus	workers
Boyup Brook (S)	Owner managers of unincorporated enterprises	172
Boyup Brook (S)	Status in employment not stated	16
Bridgetown-Greenbushes (S)	Contributing family workers	90
Bridgetown-Greenbushes (S)	Employee	1199
Bridgetown-Greenbushes (S)	Owner managers of incorporated enterprises	65
Bridgetown-Greenbushes (S)	Owner managers of unincorporated enterprises	288
Bridgetown-Greenbushes (S)	Status in employment not stated	28
Brookton (S)	Contributing family workers	46
Brookton (S)	Employee	263
Brookton (S)	Owner managers of incorporated enterprises	41
Brookton (S)	Owner managers of unincorporated enterprises	77
Brookton (S)	Status in employment not stated	5
Broome (S)	Contributing family workers	101
Broome (S)	Employee	6377
Broome (S)	Owner managers of incorporated enterprises	420
Broome (S)	Owner managers of unincorporated enterprises	398
Broome (S)	Status in employment not stated	106
Broomehill-Tambellup (S)	Contributing family workers	54
Broomehill-Tambellup (S)	Employee	148
Broomehill-Tambellup (S)	Owner managers of incorporated enterprises	50
Broomehill-Tambellup (S)	Owner managers of unincorporated enterprises	89
Broomehill-Tambellup (S)	Status in employment not stated	4
Bruce Rock (S)	Contributing family workers	39
Bruce Rock (S)	Employee	223
Bruce Rock (S)	Owner managers of incorporated enterprises	50
Bruce Rock (S)	Owner managers of unincorporated enterprises	89
Bruce Rock (S)	Status in employment not stated	3
Bunbury (C)	Contributing family workers	213
Bunbury (C)	Employee	19397
Bunbury (C)	Owner managers of incorporated enterprises	1073
Bunbury (C)	Owner managers of unincorporated enterprises	1218
Bunbury (C)	Status in employment not stated	188
Busselton (C)	Contributing family workers	408
Busselton (C)	Employee	10250
Busselton (C)	Owner managers of incorporated enterprises	1050
Busselton (C)	Owner managers of unincorporated enterprises	1770
Busselton (C)	Status in employment not stated	150
Cambridge (T)	Contributing family workers	183
Cambridge (T)	Employee	10768
Cambridge (T)	Owner managers of incorporated enterprises	1028
Cambridge (T)	Owner managers of unincorporated enterprises	1055
Cambridge (T)	Status in employment not stated	82
Canning (C)	Contributing family workers	482
Canning (C)	Employee	48270
Canning (C)	Owner managers of incorporated enterprises	3108
Canning (C)	Owner managers of unincorporated enterprises	2614
Canning (C)	Status in employment not stated	407
Capel (S)	Contributing family workers	128
Capel (S)	Employee	2805
Capel (S)	Owner managers of incorporated enterprises	177
Capel (S)	Owner managers of unincorporated enterprises	425
Capel (S)	Status in employment not stated	40
Carnamah (S)	Contributing family workers	19
Carnamah (S)	Employee	209
Carnamah (S)	Owner managers of incorporated enterprises	28
Carnamah (S)	Owner managers of unincorporated enterprises	42
Carnamah (S)	Status in employment not stated	3
Carnarvon (S)	Contributing family workers	83
Carnarvon (S)	Employee	2127
Carnarvon (S)	Owner managers of incorporated enterprises	172
Carnarvon (S)	Owner managers of unincorporated enterprises	304
Carnarvon (S)	Status in employment not stated	57
Chapman Valley (S)	Contributing family workers	38
Chapman Valley (S)	Employee	162
Chapman Valley (S)	Owner managers of incorporated enterprises	56
Chapman Valley (S)	Owner managers of unincorporated enterprises	80
Chapman Valley (S)	Status in employment not stated	4
Chittering (S)	Contributing family workers	113
Chittering (S)	Employee	900
Chittering (S)	Owner managers of incorporated enterprises	115
Chittering (S)	Owner managers of unincorporated enterprises	217
Chittering (S)	Status in employment not stated	17
Claremont (T)	Contributing family workers	81
Claremont (T)	Employee	5651
Claremont (T)	Owner managers of incorporated enterprises	455
Claremont (T)	Owner managers of unincorporated enterprises	457
Claremont (T)	Status in employment not stated	45
Cockburn (C)	Contributing family workers	527
Cockburn (C)	Employee	35453
Cockburn (C)	Owner managers of incorporated enterprises	2656
Cockburn (C)	Owner managers of unincorporated enterprises	2711
Cockburn (C)	Status in employment not stated	336
Collie (S)	Contributing family workers	53
Collie (S)	Employee	4143
Collie (S)	Owner managers of incorporated enterprises	113
Collie (S)	Owner managers of unincorporated enterprises	129
Collie (S)	Status in employment not stated	54
Coolgardie (S)	Contributing family workers	10
Coolgardie (S)	Employee	1928
Coolgardie (S)	Owner managers of incorporated enterprises	40
Coolgardie (S)	Owner managers of unincorporated enterprises	41
Coolgardie (S)	Status in employment not stated	23
Coorow (S)	Contributing family workers	38
Coorow (S)	Employee	198
Coorow (S)	Owner managers of incorporated enterprises	49
Coorow (S)	Owner managers of unincorporated enterprises	77
Coorow (S)	Status in employment not stated	9
Corrigin (S)	Contributing family workers	55
Corrigin (S)	Employee	313
Corrigin (S)	Owner managers of incorporated enterprises	52
Corrigin (S)	Owner managers of unincorporated enterprises	98
Corrigin (S)	Status in employment not stated	11
Cottesloe (T)	Contributing family workers	80
Cottesloe (T)	Employee	1910
Cottesloe (T)	Owner managers of incorporated enterprises	381
Cottesloe (T)	Owner managers of unincorporated enterprises	295
Cottesloe (T)	Status in employment not stated	22
Cranbrook (S)	Contributing family workers	72
Cranbrook (S)	Employee	252
Cranbrook (S)	Owner managers of incorporated enterprises	46
Cranbrook (S)	Owner managers of unincorporated enterprises	127
Cranbrook (S)	Status in employment not stated	13
Cuballing (S)	Contributing family workers	18
Cuballing (S)	Employee	87
Cuballing (S)	Owner managers of incorporated enterprises	33
Cuballing (S)	Owner managers of unincorporated enterprises	53
Cuballing (S)	Status in employment not stated	3
Cue (S)	Employee	105
Cue (S)	Owner managers of incorporated enterprises	3
Cue (S)	Owner managers of unincorporated enterprises	7
Cue (S)	Status in employment not stated	3
Cunderdin (S)	Contributing family workers	37
Cunderdin (S)	Employee	433
Cunderdin (S)	Owner managers of incorporated enterprises	80
Cunderdin (S)	Owner managers of unincorporated enterprises	53
Cunderdin (S)	Status in employment not stated	5
Dalwallinu (S)	Contributing family workers	71
Dalwallinu (S)	Employee	494
Dalwallinu (S)	Owner managers of incorporated enterprises	83
Dalwallinu (S)	Owner managers of unincorporated enterprises	127
Dalwallinu (S)	Status in employment not stated	17
Dandaragan (S)	Contributing family workers	118
Dandaragan (S)	Employee	935
Dandaragan (S)	Owner managers of incorporated enterprises	146
Dandaragan (S)	Owner managers of unincorporated enterprises	198
Dandaragan (S)	Status in employment not stated	24
Dardanup (S)	Contributing family workers	102
Dardanup (S)	Employee	2767
Dardanup (S)	Owner managers of incorporated enterprises	154
Dardanup (S)	Owner managers of unincorporated enterprises	332
Dardanup (S)	Status in employment not stated	40
Denmark (S)	Contributing family workers	126
Denmark (S)	Employee	1221
Denmark (S)	Owner managers of incorporated enterprises	119
Denmark (S)	Owner managers of unincorporated enterprises	410
Denmark (S)	Status in employment not stated	29
Derby-West Kimberley (S)	Contributing family workers	26
Derby-West Kimberley (S)	Employee	2355
Derby-West Kimberley (S)	Owner managers of incorporated enterprises	90
Derby-West Kimberley (S)	Owner managers of unincorporated enterprises	91
Derby-West Kimberley (S)	Status in employment not stated	29
Donnybrook-Balingup (S)	Contributing family workers	173
Donnybrook-Balingup (S)	Employee	1057
Donnybrook-Balingup (S)	Owner managers of incorporated enterprises	115
Donnybrook-Balingup (S)	Owner managers of unincorporated enterprises	262
Donnybrook-Balingup (S)	Status in employment not stated	24
Dowerin (S)	Contributing family workers	28
Dowerin (S)	Employee	141
Dowerin (S)	Owner managers of incorporated enterprises	56
Dowerin (S)	Owner managers of unincorporated enterprises	54
Dowerin (S)	Status in employment not stated	3
Dumbleyung (S)	Contributing family workers	41
Dumbleyung (S)	Employee	139
Dumbleyung (S)	Owner managers of incorporated enterprises	38
Dumbleyung (S)	Owner managers of unincorporated enterprises	86
Dumbleyung (S)	Status in employment not stated	3
Dundas (S)	Contributing family workers	3
Dundas (S)	Employee	490
Dundas (S)	Owner managers of incorporated enterprises	22
Dundas (S)	Owner managers of unincorporated enterprises	15
Dundas (S)	Status in employment not stated	5
East Fremantle (T)	Contributing family workers	36
East Fremantle (T)	Employee	1296
East Fremantle (T)	Owner managers of incorporated enterprises	194
East Fremantle (T)	Owner managers of unincorporated enterprises	247
East Fremantle (T)	Status in employment not stated	16
East Pilbara (S)	Contributing family workers	42
East Pilbara (S)	Employee	13639
East Pilbara (S)	Owner managers of incorporated enterprises	138
East Pilbara (S)	Owner managers of unincorporated enterprises	101
East Pilbara (S)	Status in employment not stated	97
Esperance (S)	Contributing family workers	237
Esperance (S)	Employee	4391
Esperance (S)	Owner managers of incorporated enterprises	477
Esperance (S)	Owner managers of unincorporated enterprises	733
Esperance (S)	Status in employment not stated	107
Exmouth (S)	Contributing family workers	20
Exmouth (S)	Employee	1101
Exmouth (S)	Owner managers of incorporated enterprises	127
Exmouth (S)	Owner managers of unincorporated enterprises	114
Exmouth (S)	Status in employment not stated	23
Fremantle (C)	Contributing family workers	333
Fremantle (C)	Employee	20877
Fremantle (C)	Owner managers of incorporated enterprises	1645
Fremantle (C)	Owner managers of unincorporated enterprises	1817
Fremantle (C)	Status in employment not stated	196
Gingin (S)	Contributing family workers	131
Gingin (S)	Employee	1309
Gingin (S)	Owner managers of incorporated enterprises	163
Gingin (S)	Owner managers of unincorporated enterprises	267
Gingin (S)	Status in employment not stated	34
Gnowangerup (S)	Contributing family workers	54
Gnowangerup (S)	Employee	372
Gnowangerup (S)	Owner managers of incorporated enterprises	95
Gnowangerup (S)	Owner managers of unincorporated enterprises	107
Gnowangerup (S)	Status in employment not stated	14
Goomalling (S)	Contributing family workers	39
Goomalling (S)	Employee	202
Goomalling (S)	Owner managers of incorporated enterprises	47
Goomalling (S)	Owner managers of unincorporated enterprises	63
Goomalling (S)	Status in employment not stated	4
Gosnells (C)	Contributing family workers	431
Gosnells (C)	Employee	19625
Gosnells (C)	Owner managers of incorporated enterprises	1714
Gosnells (C)	Owner managers of unincorporated enterprises	2319
Gosnells (C)	Status in employment not stated	210
Greater Geraldton (C)	Contributing family workers	324
Greater Geraldton (C)	Employee	13210
Greater Geraldton (C)	Owner managers of incorporated enterprises	928
Greater Geraldton (C)	Owner managers of unincorporated enterprises	1098
Greater Geraldton (C)	Status in employment not stated	146
Halls Creek (S)	Contributing family workers	4
Halls Creek (S)	Employee	838
Halls Creek (S)	Owner managers of incorporated enterprises	24
Halls Creek (S)	Owner managers of unincorporated enterprises	20
Halls Creek (S)	Status in employment not stated	13
Harvey (S)	Contributing family workers	221
Harvey (S)	Employee	5400
Harvey (S)	Owner managers of incorporated enterprises	316
Harvey (S)	Owner managers of unincorporated enterprises	622
Harvey (S)	Status in employment not stated	73
Irwin (S)	Contributing family workers	64
Irwin (S)	Employee	719
Irwin (S)	Owner managers of incorporated enterprises	106
Irwin (S)	Owner managers of unincorporated enterprises	132
Irwin (S)	Status in employment not stated	22
Jerramungup (S)	Contributing family workers	70
Jerramungup (S)	Employee	282
Jerramungup (S)	Owner managers of incorporated enterprises	62
Jerramungup (S)	Owner managers of unincorporated enterprises	151
Jerramungup (S)	Status in employment not stated	13
Joondalup (C)	Contributing family workers	667
Joondalup (C)	Employee	37548
Joondalup (C)	Owner managers of incorporated enterprises	3153
Joondalup (C)	Owner managers of unincorporated enterprises	4348
Joondalup (C)	Status in employment not stated	331
Kalamunda (S)	Contributing family workers	274
Kalamunda (S)	Employee	11522
Kalamunda (S)	Owner managers of incorporated enterprises	1131
Kalamunda (S)	Owner managers of unincorporated enterprises	1431
Kalamunda (S)	Status in employment not stated	121
Kalgoorlie/Boulder (C)	Contributing family workers	130
Kalgoorlie/Boulder (C)	Employee	13375
Kalgoorlie/Boulder (C)	Owner managers of incorporated enterprises	665
Kalgoorlie/Boulder (C)	Owner managers of unincorporated enterprises	521
Kalgoorlie/Boulder (C)	Status in employment not stated	122
Karratha (C)	Contributing family workers	65
Karratha (C)	Employee	12240
Karratha (C)	Owner managers of incorporated enterprises	390
Karratha (C)	Owner managers of unincorporated enterprises	263
Karratha (C)	Status in employment not stated	127
Katanning (S)	Contributing family workers	63
Katanning (S)	Employee	1482
Katanning (S)	Owner managers of incorporated enterprises	95
Katanning (S)	Owner managers of unincorporated enterprises	162
Katanning (S)	Status in employment not stated	21
Kellerberrin (S)	Contributing family workers	30
Kellerberrin (S)	Employee	287
Kellerberrin (S)	Owner managers of incorporated enterprises	23
Kellerberrin (S)	Owner managers of unincorporated enterprises	78
Kellerberrin (S)	Status in employment not stated	11
Kent (S)	Contributing family workers	45
Kent (S)	Employee	111
Kent (S)	Owner managers of incorporated enterprises	42
Kent (S)	Owner managers of unincorporated enterprises	78
Kent (S)	Status in employment not stated	6
Kojonup (S)	Contributing family workers	132
Kojonup (S)	Employee	506
Kojonup (S)	Owner managers of incorporated enterprises	93
Kojonup (S)	Owner managers of unincorporated enterprises	212
Kojonup (S)	Status in employment not stated	12
Kondinin (S)	Contributing family workers	56
Kondinin (S)	Employee	482
Kondinin (S)	Owner managers of incorporated enterprises	83
Kondinin (S)	Owner managers of unincorporated enterprises	75
Kondinin (S)	Status in employment not stated	7
Koorda (S)	Contributing family workers	15
Koorda (S)	Employee	90
Koorda (S)	Owner managers of incorporated enterprises	20
Koorda (S)	Owner managers of unincorporated enterprises	51
Koorda (S)	Status in employment not stated	3
Kulin (S)	Contributing family workers	60
Kulin (S)	Employee	154
Kulin (S)	Owner managers of incorporated enterprises	58
Kulin (S)	Owner managers of unincorporated enterprises	104
Kulin (S)	Status in employment not stated	4
Kwinana (C)	Contributing family workers	118
Kwinana (C)	Employee	11296
Kwinana (C)	Owner managers of incorporated enterprises	515
Kwinana (C)	Owner managers of unincorporated enterprises	639
Kwinana (C)	Status in employment not stated	93
Lake Grace (S)	Contributing family workers	95
Lake Grace (S)	Employee	395
Lake Grace (S)	Owner managers of incorporated enterprises	90
Lake Grace (S)	Owner managers of unincorporated enterprises	176
Lake Grace (S)	Status in employment not stated	13
Laverton (S)	Contributing family workers	5
Laverton (S)	Employee	2321
Laverton (S)	Owner managers of incorporated enterprises	21
Laverton (S)	Owner managers of unincorporated enterprises	10
Laverton (S)	Status in employment not stated	15
Leonora (S)	Contributing family workers	3
Leonora (S)	Employee	2196
Leonora (S)	Owner managers of incorporated enterprises	28
Leonora (S)	Owner managers of unincorporated enterprises	33
Leonora (S)	Status in employment not stated	11
Mandurah (C)	Contributing family workers	360
Mandurah (C)	Employee	17478
Mandurah (C)	Owner managers of incorporated enterprises	1303
Mandurah (C)	Owner managers of unincorporated enterprises	1954
Mandurah (C)	Status in employment not stated	204
Manjimup (S)	Contributing family workers	236
Manjimup (S)	Employee	3021
Manjimup (S)	Owner managers of incorporated enterprises	308
Manjimup (S)	Owner managers of unincorporated enterprises	478
Manjimup (S)	Status in employment not stated	87
Meekatharra (S)	Contributing family workers	25
Meekatharra (S)	Employee	1141
Meekatharra (S)	Owner managers of incorporated enterprises	10
Meekatharra (S)	Owner managers of unincorporated enterprises	42
Meekatharra (S)	Status in employment not stated	9
Melville (C)	Contributing family workers	505
Melville (C)	Employee	33960
Melville (C)	Owner managers of incorporated enterprises	2649
Melville (C)	Owner managers of unincorporated enterprises	2695
Melville (C)	Status in employment not stated	280
Menzies (S)	Employee	671
Menzies (S)	Owner managers of unincorporated enterprises	10
Merredin (S)	Contributing family workers	66
Merredin (S)	Employee	1146
Merredin (S)	Owner managers of incorporated enterprises	113
Merredin (S)	Owner managers of unincorporated enterprises	139
Merredin (S)	Status in employment not stated	13
Mingenew (S)	Contributing family workers	14
Mingenew (S)	Employee	148
Mingenew (S)	Owner managers of incorporated enterprises	38
Mingenew (S)	Owner managers of unincorporated enterprises	47
Mingenew (S)	Status in employment not stated	3
Moora (S)	Contributing family workers	76
Moora (S)	Employee	787
Moora (S)	Owner managers of incorporated enterprises	112
Moora (S)	Owner managers of unincorporated enterprises	162
Moora (S)	Status in employment not stated	20
Morawa (S)	Contributing family workers	30
Morawa (S)	Employee	225
Morawa (S)	Owner managers of incorporated enterprises	26
Morawa (S)	Owner managers of unincorporated enterprises	51
Morawa (S)	Status in employment not stated	6
Mosman Park (T)	Contributing family workers	59
Mosman Park (T)	Employee	1936
Mosman Park (T)	Owner managers of incorporated enterprises	217
Mosman Park (T)	Owner managers of unincorporated enterprises	206
Mosman Park (T)	Status in employment not stated	13
Mount Magnet (S)	Contributing family workers	4
Mount Magnet (S)	Employee	283
Mount Magnet (S)	Owner managers of incorporated enterprises	14
Mount Magnet (S)	Owner managers of unincorporated enterprises	17
Mount Magnet (S)	Status in employment not stated	3
Mount Marshall (S)	Contributing family workers	39
Mount Marshall (S)	Employee	109
Mount Marshall (S)	Owner managers of incorporated enterprises	30
Mount Marshall (S)	Owner managers of unincorporated enterprises	88
Mount Marshall (S)	Status in employment not stated	12
Mukinbudin (S)	Contributing family workers	34
Mukinbudin (S)	Employee	139
Mukinbudin (S)	Owner managers of incorporated enterprises	27
Mukinbudin (S)	Owner managers of unincorporated enterprises	52
Mukinbudin (S)	Status in employment not stated	4
Mundaring (S)	Contributing family workers	234
Mundaring (S)	Employee	6499
Mundaring (S)	Owner managers of incorporated enterprises	768
Mundaring (S)	Owner managers of unincorporated enterprises	1162
Mundaring (S)	Status in employment not stated	74
Murchison (S)	Contributing family workers	3
Murchison (S)	Employee	50
Murchison (S)	Owner managers of incorporated enterprises	6
Murchison (S)	Owner managers of unincorporated enterprises	4
Murchison (S)	Status in employment not stated	3
Murray (S)	Contributing family workers	143
Murray (S)	Employee	4499
Murray (S)	Owner managers of incorporated enterprises	297
Murray (S)	Owner managers of unincorporated enterprises	421
Murray (S)	Status in employment not stated	45
Nannup (S)	Contributing family workers	49
Nannup (S)	Employee	295
Nannup (S)	Owner managers of incorporated enterprises	25
Nannup (S)	Owner managers of unincorporated enterprises	92
Nannup (S)	Status in employment not stated	9
Narembeen (S)	Contributing family workers	42
Narembeen (S)	Employee	210
Narembeen (S)	Owner managers of incorporated enterprises	58
Narembeen (S)	Owner managers of unincorporated enterprises	69
Narembeen (S)	Status in employment not stated	8
Narrogin (S)	Contributing family workers	92
Narrogin (S)	Employee	1831
Narrogin (S)	Owner managers of incorporated enterprises	143
Narrogin (S)	Owner managers of unincorporated enterprises	243
Narrogin (S)	Status in employment not stated	29
Nedlands (C)	Contributing family workers	158
Nedlands (C)	Employee	18265
Nedlands (C)	Owner managers of incorporated enterprises	911
Nedlands (C)	Owner managers of unincorporated enterprises	885
Nedlands (C)	Status in employment not stated	113
Ngaanyatjarraku (S)	Employee	335
Ngaanyatjarraku (S)	Owner managers of unincorporated enterprises	6
Northam (S)	Contributing family workers	122
Northam (S)	Employee	3604
Northam (S)	Owner managers of incorporated enterprises	225
Northam (S)	Owner managers of unincorporated enterprises	337
Northam (S)	Status in employment not stated	76
Northampton (S)	Contributing family workers	108
Northampton (S)	Employee	712
Northampton (S)	Owner managers of incorporated enterprises	102
Northampton (S)	Owner managers of unincorporated enterprises	218
Northampton (S)	Status in employment not stated	15
Nungarin (S)	Contributing family workers	17
Nungarin (S)	Employee	37
Nungarin (S)	Owner managers of incorporated enterprises	6
Nungarin (S)	Owner managers of unincorporated enterprises	16
Peppermint Grove (S)	Contributing family workers	16
Peppermint Grove (S)	Employee	893
Peppermint Grove (S)	Owner managers of incorporated enterprises	84
Peppermint Grove (S)	Owner managers of unincorporated enterprises	91
Peppermint Grove (S)	Status in employment not stated	8
Perenjori (S)	Contributing family workers	38
Perenjori (S)	Employee	649
Perenjori (S)	Owner managers of incorporated enterprises	27
Perenjori (S)	Owner managers of unincorporated enterprises	51
Perenjori (S)	Status in employment not stated	7
Perth (C)	Contributing family workers	434
Perth (C)	Employee	120573
Perth (C)	Owner managers of incorporated enterprises	4133
Perth (C)	Owner managers of unincorporated enterprises	2728
Perth (C)	Status in employment not stated	647
Pingelly (S)	Contributing family workers	32
Pingelly (S)	Employee	183
Pingelly (S)	Owner managers of incorporated enterprises	48
Pingelly (S)	Owner managers of unincorporated enterprises	62
Pingelly (S)	Status in employment not stated	4
Plantagenet (S)	Contributing family workers	189
Plantagenet (S)	Employee	1388
Plantagenet (S)	Owner managers of incorporated enterprises	105
Plantagenet (S)	Owner managers of unincorporated enterprises	297
Plantagenet (S)	Status in employment not stated	39
Port Hedland (T)	Contributing family workers	43
Port Hedland (T)	Employee	8820
Port Hedland (T)	Owner managers of incorporated enterprises	287
Port Hedland (T)	Owner managers of unincorporated enterprises	213
Port Hedland (T)	Status in employment not stated	113
Quairading (S)	Contributing family workers	26
Quairading (S)	Employee	200
Quairading (S)	Owner managers of incorporated enterprises	37
Quairading (S)	Owner managers of unincorporated enterprises	85
Quairading (S)	Status in employment not stated	6
Ravensthorpe (S)	Contributing family workers	75
Ravensthorpe (S)	Employee	767
Ravensthorpe (S)	Owner managers of incorporated enterprises	50
Ravensthorpe (S)	Owner managers of unincorporated enterprises	113
Ravensthorpe (S)	Status in employment not stated	11
Rockingham (C)	Contributing family workers	471
Rockingham (C)	Employee	25516
Rockingham (C)	Owner managers of incorporated enterprises	1396
Rockingham (C)	Owner managers of unincorporated enterprises	2446
Rockingham (C)	Status in employment not stated	231
Sandstone (S)	Contributing family workers	4
Sandstone (S)	Employee	29
Sandstone (S)	Owner managers of unincorporated enterprises	9
Serpentine-Jarrahdale (S)	Contributing family workers	187
Serpentine-Jarrahdale (S)	Employee	3193
Serpentine-Jarrahdale (S)	Owner managers of incorporated enterprises	459
Serpentine-Jarrahdale (S)	Owner managers of unincorporated enterprises	690
Serpentine-Jarrahdale (S)	Status in employment not stated	54
Shark Bay (S)	Contributing family workers	9
Shark Bay (S)	Employee	337
Shark Bay (S)	Owner managers of incorporated enterprises	26
Shark Bay (S)	Owner managers of unincorporated enterprises	42
Shark Bay (S)	Status in employment not stated	4
South Perth (C)	Contributing family workers	216
South Perth (C)	Employee	10337
South Perth (C)	Owner managers of incorporated enterprises	1132
South Perth (C)	Owner managers of unincorporated enterprises	1078
South Perth (C)	Status in employment not stated	94
Stirling (C)	Contributing family workers	856
Stirling (C)	Employee	62996
Stirling (C)	Owner managers of incorporated enterprises	5456
Stirling (C)	Owner managers of unincorporated enterprises	5588
Stirling (C)	Status in employment not stated	605
Subiaco (C)	Contributing family workers	153
Subiaco (C)	Employee	23151
Subiaco (C)	Owner managers of incorporated enterprises	1622
Subiaco (C)	Owner managers of unincorporated enterprises	1106
Subiaco (C)	Status in employment not stated	149
Swan (C)	Contributing family workers	840
Swan (C)	Employee	46939
Swan (C)	Owner managers of incorporated enterprises	3530
Swan (C)	Owner managers of unincorporated enterprises	3657
Swan (C)	Status in employment not stated	444
Tammin (S)	Contributing family workers	11
Tammin (S)	Employee	102
Tammin (S)	Owner managers of incorporated enterprises	24
Tammin (S)	Owner managers of unincorporated enterprises	33
Tammin (S)	Status in employment not stated	3
Three Springs (S)	Contributing family workers	27
Three Springs (S)	Employee	186
Three Springs (S)	Owner managers of incorporated enterprises	23
Three Springs (S)	Owner managers of unincorporated enterprises	42
Three Springs (S)	Status in employment not stated	3
Toodyay (S)	Contributing family workers	78
Toodyay (S)	Employee	494
Toodyay (S)	Owner managers of incorporated enterprises	81
Toodyay (S)	Owner managers of unincorporated enterprises	195
Toodyay (S)	Status in employment not stated	15
Trayning (S)	Contributing family workers	16
Trayning (S)	Employee	78
Trayning (S)	Owner managers of incorporated enterprises	26
Trayning (S)	Owner managers of unincorporated enterprises	26
Trayning (S)	Status in employment not stated	5
Upper Gascoyne (S)	Contributing family workers	4
Upper Gascoyne (S)	Employee	64
Upper Gascoyne (S)	Owner managers of incorporated enterprises	5
Upper Gascoyne (S)	Owner managers of unincorporated enterprises	3
Victoria Park (T)	Contributing family workers	227
Victoria Park (T)	Employee	24913
Victoria Park (T)	Owner managers of incorporated enterprises	1387
Victoria Park (T)	Owner managers of unincorporated enterprises	1276
Victoria Park (T)	Status in employment not stated	185
Victoria Plains (S)	Contributing family workers	67
Victoria Plains (S)	Employee	260
Victoria Plains (S)	Owner managers of incorporated enterprises	53
Victoria Plains (S)	Owner managers of unincorporated enterprises	80
Victoria Plains (S)	Status in employment not stated	14
Vincent (C)	Contributing family workers	259
Vincent (C)	Employee	16922
Vincent (C)	Owner managers of incorporated enterprises	1721
Vincent (C)	Owner managers of unincorporated enterprises	1599
Vincent (C)	Status in employment not stated	148
Wagin (S)	Contributing family workers	58
Wagin (S)	Employee	434
Wagin (S)	Owner managers of incorporated enterprises	75
Wagin (S)	Owner managers of unincorporated enterprises	110
Wagin (S)	Status in employment not stated	14
Wandering (S)	Contributing family workers	22
Wandering (S)	Employee	70
Wandering (S)	Owner managers of incorporated enterprises	37
Wandering (S)	Owner managers of unincorporated enterprises	33
Wandering (S)	Status in employment not stated	7
Wanneroo (C)	Contributing family workers	809
Wanneroo (C)	Employee	34170
Wanneroo (C)	Owner managers of incorporated enterprises	3684
Wanneroo (C)	Owner managers of unincorporated enterprises	4961
Wanneroo (C)	Status in employment not stated	378
Waroona (S)	Contributing family workers	52
Waroona (S)	Employee	1899
Waroona (S)	Owner managers of incorporated enterprises	68
Waroona (S)	Owner managers of unincorporated enterprises	112
Waroona (S)	Status in employment not stated	33
West Arthur (S)	Contributing family workers	79
West Arthur (S)	Employee	154
West Arthur (S)	Owner managers of incorporated enterprises	41
West Arthur (S)	Owner managers of unincorporated enterprises	106
West Arthur (S)	Status in employment not stated	3
Westonia (S)	Contributing family workers	22
Westonia (S)	Employee	235
Westonia (S)	Owner managers of incorporated enterprises	6
Westonia (S)	Owner managers of unincorporated enterprises	25
Wickepin (S)	Contributing family workers	46
Wickepin (S)	Employee	126
Wickepin (S)	Owner managers of incorporated enterprises	44
Wickepin (S)	Owner managers of unincorporated enterprises	77
Wickepin (S)	Status in employment not stated	3
Williams (S)	Contributing family workers	52
Williams (S)	Employee	233
Williams (S)	Owner managers of incorporated enterprises	43
Williams (S)	Owner managers of unincorporated enterprises	116
Williams (S)	Status in employment not stated	11
Wiluna (S)	Contributing family workers	3
Wiluna (S)	Employee	1127
Wiluna (S)	Owner managers of incorporated enterprises	11
Wiluna (S)	Owner managers of unincorporated enterprises	11
Wiluna (S)	Status in employment not stated	9
Wongan-Ballidu (S)	Contributing family workers	40
Wongan-Ballidu (S)	Employee	445
Wongan-Ballidu (S)	Owner managers of incorporated enterprises	91
Wongan-Ballidu (S)	Owner managers of unincorporated enterprises	98
Wongan-Ballidu (S)	Status in employment not stated	14
Woodanilling (S)	Contributing family workers	26
Woodanilling (S)	Employee	90
Woodanilling (S)	Owner managers of incorporated enterprises	28
Woodanilling (S)	Owner managers of unincorporated enterprises	42
Woodanilling (S)	Status in employment not stated	9
Wyalkatchem (S)	Contributing family workers	28
Wyalkatchem (S)	Employee	125
Wyalkatchem (S)	Owner managers of incorporated enterprises	31
Wyalkatchem (S)	Owner managers of unincorporated enterprises	27
Wyndham-East Kimberley (S)	Contributing family workers	51
Wyndham-East Kimberley (S)	Employee	3220
Wyndham-East Kimberley (S)	Owner managers of incorporated enterprises	195
Wyndham-East Kimberley (S)	Owner managers of unincorporated enterprises	173
Wyndham-East Kimberley (S)	Status in employment not stated	49
Yalgoo (S)	Contributing family workers	11
Yalgoo (S)	Employee	667
Yalgoo (S)	Owner managers of incorporated enterprises	7
Yalgoo (S)	Owner managers of unincorporated enterprises	13
Yalgoo (S)	Status in employment not stated	4
Yilgarn (S)	Contributing family workers	53
Yilgarn (S)	Employee	1107
Yilgarn (S)	Owner managers of incorporated enterprises	36
Yilgarn (S)	Owner managers of unincorporated enterprises	84
Yilgarn (S)	Status in employment not stated	27
York (S)	Contributing family workers	76
York (S)	Employee	667
York (S)	Owner managers of incorporated enterprises	110
York (S)	Owner managers of unincorporated enterprises	158
York (S)	Status in employment not stated	19
No usual address (WA)	Contributing family workers	754
No usual address (WA)	Employee	31862
No usual address (WA)	Owner managers of incorporated enterprises	4660
No usual address (WA)	Owner managers of unincorporated enterprises	16256
No usual address (WA)	Status in employment not stated	848
Migratory - Offshore - Shipping (WA)	Contributing family workers	5
Migratory - Offshore - Shipping (WA)	Employee	1536
Migratory - Offshore - Shipping (WA)	Owner managers of incorporated enterprises	22
Migratory - Offshore - Shipping (WA)	Owner managers of unincorporated enterprises	23
